Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Claim,,Claim.supportingInfo.valueString,0,1,string,"Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.valueQuantity,0,1,Quantity,"Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.valueAttachment,0,1,Attachment,"Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.valueReference,0,1,Reference (any),"A reference, either FHIR resource referecen or the busuness identifier of an information object, for example a document in an external repository.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.etension.valueCodeableConcept,0,*,Extension(CodeableConcept),Used to document supported info that are coded,,,,GAP,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.reason,0,1,CodeableConcept,Provides the reason in the situation where a reason code is required in addition to the content.,Missing,,No,,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis,1,*,BackboneElement,Information about diagnoses relevant to the claim items.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis.sequence,1,1,positiveInt,A number to uniquely identify diagnosis entries.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis.diagnosisCodeableConcept,1,1,CodeableConcept,The diagnosis code.,Missing,,No,https://ilm-hie.dha.go.ke/ocl/orgs/WHO/ValueSet/icd-11/$expand,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis.type,0,1,CodeableConcept,When the condition was observed or the relative ranking.,Missing,,No,http://hl7.org/fhir/ValueSet/ex-diagnosistype,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis.onAdmission,0,1,CodeableConcept,Indication of whether the diagnosis was present on admission to a facility.,Missing,,No,http://hl7.org/fhir/ValueSet/ex-diagnosis-on-admission,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance,1,*,BackboneElement,Financial instruments for reimbursement for the health care products and services specified on the claim.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance.sequence,1,1,positiveInt,A number to uniquely identify insurance entries and provide a sequence of coverages to convey coordination of benefit order.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance.focal,1,1,boolean,A flag to indicate that this Coverage is to be used for adjudication of this claim when set to true.,,,,,,,,,,,,,,,,,,,,,,
